model_id,provider_group,source_model,family,modality,task_role,quality_tier,priority,confidence,classification_note
srv_mkom688d57c76d8a3542:openai/gpt-oss-safeguard-20b,g4f-pollinations,openai/gpt-oss-safeguard-20b,GPT/OpenAI,moderation-safety,safety-classification,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:qwen-safety,g4f-pollinations,srv_mrdypihj16e8b1776409:qwen-safety,Qwen,moderation-safety,safety-classification,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt4quyfw26b0a700926a:qwen3-guard-8b,g4f-pollinations,srv_mt4quyfw26b0a700926a:qwen3-guard-8b,Qwen,moderation-safety,safety-classification,specialized,P-specialized,medium,Name/provider heuristic; verify with endpoint probe before production auto-routing.
opencode-zen/deepseek-v4-flash-free,opencode-zen,deepseek-v4-flash-free,DeepSeek,text-chat,coding,curated-free,P1-curated-free,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
opencode-zen/laguna-s-2.1-free,opencode-zen,laguna-s-2.1-free,Luna/Laguna,text-chat,coding,curated-free,P1-curated-free,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
opencode-zen/nemotron-3-ultra-free,opencode-zen,nemotron-3-ultra-free,Nemotron/NVIDIA,text-chat,coding,curated-free,P1-curated-free,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
opencode-zen/nemotron-3.5-lightning-free,opencode-zen,nemotron-3.5-lightning-free,Nemotron/NVIDIA,text-chat,coding,curated-free,P1-curated-free,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
opencode-zen/big-pickle,opencode-zen,big-pickle,Other Open Model,text-chat,coding,curated-free,P1-curated-free,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
opencode-zen/hy3-free,opencode-zen,hy3-free,Other Open Model,text-chat,coding,curated-free,P1-curated-free,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
opencode-zen/mimo-v2.5-free,opencode-zen,mimo-v2.5-free,Other Open Model,text-chat,coding,curated-free,P1-curated-free,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
minimax/minimax-m2.5:free,kilo-gateway,minimax-m2.5:free,MiniMax,text-chat,general-chat,curated-gateway,P2-curated-gateway,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
nvidia/nemotron-3-super-120b-a12b:free,kilo-gateway,nemotron-3-super-120b-a12b:free,Nemotron/NVIDIA,text-chat,general-chat,curated-gateway,P2-curated-gateway,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
arcee-ai/trinity-large-preview:free,kilo-gateway,trinity-large-preview:free,Other Open Model,text-chat,general-chat,curated-gateway,P2-curated-gateway,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
kilo-auto/free,kilo-gateway,free,Other Open Model,text-chat,general-chat,curated-gateway,P2-curated-gateway,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:claude-sonnet-4,g4f-pollinations,srv_msjkstt04622bf04c675:claude-sonnet-4,Claude,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:fxyz-claude,g4f-pollinations,srv_msjkstt04622bf04c675:fxyz-claude,Claude,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:chigwell/claude-haiku-4-5,g4f-pollinations,chigwell/claude-haiku-4-5,Claude,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msoxsh206cb0d89eca32:anthropic/claude-fable-5,g4f-pollinations,anthropic/claude-fable-5,Claude,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msoxsh206cb0d89eca32:anthropic/claude-opus-4.8,g4f-pollinations,anthropic/claude-opus-4.8,Claude,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:deepseek,g4f-pollinations,srv_mrdypihj16e8b1776409:deepseek,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:deepseek-pro,g4f-pollinations,srv_mrdypihj16e8b1776409:deepseek-pro,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgynwuz08a167112109:deepseek-v4-pro,g4f-pollinations,srv_mrgynwuz08a167112109:deepseek-v4-pro,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgypezt91a1a4a8ea7f:deepseek-v4-flash,g4f-pollinations,srv_mrgypezt91a1a4a8ea7f:deepseek-v4-flash,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrtd0gge48cb809ab7eb:deepseek-v4-flash,g4f-pollinations,srv_mrtd0gge48cb809ab7eb:deepseek-v4-flash,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:fgpt-deepseek-v4-flash,g4f-pollinations,srv_msjkstt04622bf04c675:fgpt-deepseek-v4-flash,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:oc-deepseek-v4-flash-free,g4f-pollinations,srv_msjkstt04622bf04c675:oc-deepseek-v4-flash-free,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt1wbaxgf9c946af0c58:deepseek-v4-flash,g4f-pollinations,srv_mt1wbaxgf9c946af0c58:deepseek-v4-flash,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt1wbaxgf9c946af0c58:deepseek-v4-pro,g4f-pollinations,srv_mt1wbaxgf9c946af0c58:deepseek-v4-pro,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt4qsz48835de85d3492:DeepSeek-V4-Flash-0731,g4f-pollinations,srv_mt4qsz48835de85d3492:DeepSeek-V4-Flash-0731,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt4quyfw26b0a700926a:deepseek-v4-flash,g4f-pollinations,srv_mt4quyfw26b0a700926a:deepseek-v4-flash,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt4quyfw26b0a700926a:deepseek-v4-pro,g4f-pollinations,srv_mt4quyfw26b0a700926a:deepseek-v4-pro,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:deepseek-ai/deepseek-v4-flash-0731,g4f-pollinations,deepseek-ai/deepseek-v4-flash-0731,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mp2huzrg06e426ad12f3:deepseek-ai/DeepSeek-V4-Pro-0813,g4f-pollinations,deepseek-ai/DeepSeek-V4-Pro-0813,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:JustScriptzz/deepseek-v4-pro-0813,g4f-pollinations,JustScriptzz/deepseek-v4-pro-0813,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:MarcosFRG/deepseek-v4-flash,g4f-pollinations,MarcosFRG/deepseek-v4-flash,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:MarcosFRG/deepseek-v4-pro,g4f-pollinations,MarcosFRG/deepseek-v4-pro,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:Minor-fun/deepseek-v3.2,g4f-pollinations,Minor-fun/deepseek-v3.2,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:vendouple/deepseek-v4-pro,g4f-pollinations,vendouple/deepseek-v4-pro,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:voodoohop/anyvm-deepseek-chat,g4f-pollinations,voodoohop/anyvm-deepseek-chat,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msoxsh206cb0d89eca32:deepseek/deepseek-v4-flash-free,g4f-pollinations,deepseek/deepseek-v4-flash-free,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msoxsh206cb0d89eca32:deepseek/deepseek-v4-pro-0813,g4f-pollinations,deepseek/deepseek-v4-pro-0813,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msoxsh206cb0d89eca32:deepseek/deepseek-v4-pro-free,g4f-pollinations,deepseek/deepseek-v4-pro-free,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mp3lmkuad07322459f47:gemma3-270m:free,g4f-pollinations,srv_mp3lmkuad07322459f47:gemma3-270m:free,Gemini/Google,text-chat-vision-candidate,vision-chat-candidate,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgy0nmbc8a86c407f17:gemini-3.5-flash,g4f-pollinations,srv_mrgy0nmbc8a86c407f17:gemini-3.5-flash,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgy0nmbc8a86c407f17:gemini-3.6-flash,g4f-pollinations,srv_mrgy0nmbc8a86c407f17:gemini-3.6-flash,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msgcl4vs6336675136db:gemma3:12b,g4f-pollinations,srv_msgcl4vs6336675136db:gemma3:12b,Gemini/Google,text-chat-vision-candidate,vision-chat-candidate,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:gemini-2.5-pro,g4f-pollinations,srv_msjkstt04622bf04c675:gemini-2.5-pro,Gemini/Google,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:gemini-3.6-flash,g4f-pollinations,srv_msjkstt04622bf04c675:gemini-3.6-flash,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:google/diffusiongemma-26b-a4b-it,g4f-pollinations,google/diffusiongemma-26b-a4b-it,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:chigwell/gemini-3.1-flash-lite,g4f-pollinations,chigwell/gemini-3.1-flash-lite,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:chigwell/gemini-3.7-flash,g4f-pollinations,chigwell/gemini-3.7-flash,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:gggff123/Gemini-3.7-Flash,g4f-pollinations,gggff123/Gemini-3.7-Flash,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:MarcosFRG/gemini-2.5-flash-lite,g4f-pollinations,MarcosFRG/gemini-2.5-flash-lite,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:MarcosFRG/gemma-4-26b-a4b,g4f-pollinations,MarcosFRG/gemma-4-26b-a4b,Gemini/Google,text-chat-vision-candidate,vision-chat-candidate,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:vendouple/gemini-3.6,g4f-pollinations,vendouple/gemini-3.6,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:YoannDev90/diffusiongemma-26b-a4b-it:free,g4f-pollinations,YoannDev90/diffusiongemma-26b-a4b-it:free,Gemini/Google,text-chat,coding,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemini-2.5-flash,g4f-pollinations,models/gemini-2.5-flash,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemini-2.5-flash-lite,g4f-pollinations,models/gemini-2.5-flash-lite,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemini-3-flash-preview,g4f-pollinations,models/gemini-3-flash-preview,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemini-3.1-flash-lite,g4f-pollinations,models/gemini-3.1-flash-lite,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemini-3.5-flash,g4f-pollinations,models/gemini-3.5-flash,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemini-3.6-flash,g4f-pollinations,models/gemini-3.6-flash,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemini-robotics-er-1.6-preview,g4f-pollinations,models/gemini-robotics-er-1.6-preview,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemma-4-26b-a4b-it,g4f-pollinations,models/gemma-4-26b-a4b-it,Gemini/Google,text-chat-vision-candidate,vision-chat-candidate,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgy0nmbc8a86c407f17:models/gemma-4-31b-it,g4f-pollinations,models/gemma-4-31b-it,Gemini/Google,text-chat-vision-candidate,vision-chat-candidate,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_moot47mj3e1855ad46d1:glm-5.2,g4f-pollinations,srv_moot47mj3e1855ad46d1:glm-5.2,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:glm,g4f-pollinations,srv_mrdypihj16e8b1776409:glm,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgynwuz08a167112109:glm-4.7,g4f-pollinations,srv_mrgynwuz08a167112109:glm-4.7,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgynwuz08a167112109:glm-5.1,g4f-pollinations,srv_mrgynwuz08a167112109:glm-5.1,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgynwuz08a167112109:glm-5.1-thinking,g4f-pollinations,srv_mrgynwuz08a167112109:glm-5.1-thinking,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgynwuz08a167112109:glm-5.2,g4f-pollinations,srv_mrgynwuz08a167112109:glm-5.2,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgynwuz08a167112109:glm-5.2-thinking,g4f-pollinations,srv_mrgynwuz08a167112109:glm-5.2-thinking,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgypezt91a1a4a8ea7f:glm-5.2-venice,g4f-pollinations,srv_mrgypezt91a1a4a8ea7f:glm-5.2-venice,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt1wbaxgf9c946af0c58:glm-5-2,g4f-pollinations,srv_mt1wbaxgf9c946af0c58:glm-5-2,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mp2huzrg06e426ad12f3:zai-org/GLM-5.2,g4f-pollinations,zai-org/GLM-5.2,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mp5miql908c8738d71be:MarcosFRG/glm-4.6v-flash,g4f-pollinations,MarcosFRG/glm-4.6v-flash,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:gggff123/Glm-5.3,g4f-pollinations,gggff123/Glm-5.3,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:JustScriptzz/glm-5.2,g4f-pollinations,JustScriptzz/glm-5.2,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgynwuz08a167112109:zai-org/GLM-5.1-FP8,g4f-pollinations,zai-org/GLM-5.1-FP8,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msoxsh206cb0d89eca32:z-ai/glm-5.3,g4f-pollinations,z-ai/glm-5.3,GLM/Zhipu,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/openai,g4f-pollinations,openai,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/openai-fast,g4f-pollinations,openai-fast,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mp3lmkuad07322459f47:gpt-oss-20b,g4f-pollinations,srv_mp3lmkuad07322459f47:gpt-oss-20b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mp5miql908c8738d71be:openai-fast,g4f-pollinations,srv_mp5miql908c8738d71be:openai-fast,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:gpt-5.4,g4f-pollinations,srv_mrdypihj16e8b1776409:gpt-5.4,GPT/OpenAI,text-chat-vision-candidate,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:gpt-5.6-luna,g4f-pollinations,srv_mrdypihj16e8b1776409:gpt-5.6-luna,GPT/OpenAI,text-chat-vision-candidate,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:gpt-5.6-sol,g4f-pollinations,srv_mrdypihj16e8b1776409:gpt-5.6-sol,GPT/OpenAI,text-chat-vision-candidate,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:gpt-5.6-terra,g4f-pollinations,srv_mrdypihj16e8b1776409:gpt-5.6-terra,GPT/OpenAI,text-chat-vision-candidate,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:gpt-oss,g4f-pollinations,srv_mrdypihj16e8b1776409:gpt-oss,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:openai,g4f-pollinations,srv_mrdypihj16e8b1776409:openai,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:openai-fast,g4f-pollinations,srv_mrdypihj16e8b1776409:openai-fast,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgypezt91a1a4a8ea7f:gpt-5.2,g4f-pollinations,srv_mrgypezt91a1a4a8ea7f:gpt-5.2,GPT/OpenAI,text-chat-vision-candidate,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msgbae6y120ad415d4bf:gpt-oss:120b,g4f-pollinations,srv_msgbae6y120ad415d4bf:gpt-oss:120b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msgbbrytbac5e2fa17e1:gpt-oss:20b,g4f-pollinations,srv_msgbbrytbac5e2fa17e1:gpt-oss:20b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msgcmvfuf9ab80c4493f:gpt-oss:20b,g4f-pollinations,srv_msgcmvfuf9ab80c4493f:gpt-oss:20b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:gpt-5.2,g4f-pollinations,srv_msjkstt04622bf04c675:gpt-5.2,GPT/OpenAI,text-chat-vision-candidate,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:openai-fast,g4f-pollinations,srv_msjkstt04622bf04c675:openai-fast,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
